Country Name,Country Code,Year,Value
Africa Eastern and Southern,AFE,2000,67.042887053288
Africa Eastern and Southern,AFE,2010,59.1548866588658
Africa Eastern and Southern,AFE,2015,52.911433522748
Africa Eastern and Southern,AFE,2019,49.0198435796198
Afghanistan,AFG,2000,59.8146503168484
Afghanistan,AFG,2010,48.1499135188659
Afghanistan,AFG,2015,39.3909806318543
Afghanistan,AFG,2019,32.9304513537869
Africa Western and Central,AFW,2000,71.253066542416
Africa Western and Central,AFW,2010,65.1492323583742
Africa Western and Central,AFW,2015,61.8831660993608
Africa Western and Central,AFW,2019,59.5038196263206
Angola,AGO,2000,72.8390914721885
Angola,AGO,2010,66.6069964106187
Angola,AGO,2015,61.5753822572839
Angola,AGO,2019,59.1622729537789
Albania,ALB,2000,8.10935164207416
Albania,ALB,2010,3.25913151879465
Albania,ALB,2015,2.95538161966608
Albania,ALB,2019,3.0231082827299
Arab World,ARB,2000,32.0345143547207
Arab World,ARB,2010,24.1138600513385
Arab World,ARB,2015,19.7153918077943
Arab World,ARB,2019,18.818142806916
United Arab Emirates,ARE,2000,10.3152843012522
United Arab Emirates,ARE,2010,7.17660786007113
United Arab Emirates,ARE,2015,7.02644238621865
United Arab Emirates,ARE,2019,7.09169127061723
Argentina,ARG,2000,12.2809220405173
Argentina,ARG,2010,14.1294278660707
Argentina,ARG,2015,15.4917818001276
Argentina,ARG,2019,17.5964944783087
Armenia,ARM,2000,5.1782551335477
Armenia,ARM,2010,4.4447260815385
Armenia,ARM,2015,4.80844155538981
Armenia,ARM,2019,6.69449890981904
Antigua and Barbuda,ATG,2000,13.5131059032448
Antigua and Barbuda,ATG,2010,12.2117824135442
Antigua and Barbuda,ATG,2015,11.2859980525078
Antigua and Barbuda,ATG,2019,9.83439461391756
Australia,AUS,2000,4.36979318252036
Australia,AUS,2010,3.95449604319344
Australia,AUS,2015,4.56955742794355
Australia,AUS,2019,4.94105432186094
Austria,AUT,2000,2.67116315075768
Austria,AUT,2010,2.77306151336402
Austria,AUT,2015,2.67367991707398
Austria,AUT,2019,3.5699786156552
Azerbaijan,AZE,2000,18.762527129821
Azerbaijan,AZE,2010,10.2382655442008
Azerbaijan,AZE,2015,7.43066270762916
Azerbaijan,AZE,2019,5.98818904163466
Burundi,BDI,2000,62.7775020459683
Burundi,BDI,2010,60.5301584325218
Burundi,BDI,2015,54.4843023131018
Burundi,BDI,2019,51.1748058045556
Belgium,BEL,2000,7.50580615179344
Belgium,BEL,2010,7.28600009200708
Belgium,BEL,2015,7.8975898577875
