Country Name,Country Code,Year,Value
Africa Eastern and Southern,AFE,2000,8.33671859321122
Africa Eastern and Southern,AFE,2010,8.94870851995996
Africa Eastern and Southern,AFE,2015,10.2288010405243
Africa Eastern and Southern,AFE,2019,10.8976584859717
Afghanistan,AFG,2000,8.17558808319085
Afghanistan,AFG,2010,11.0309239785858
Afghanistan,AFG,2015,16.3899646832828
Afghanistan,AFG,2019,17.2884637273119
Africa Western and Central,AFW,2000,6.31794564332008
Africa Western and Central,AFW,2010,7.60492808759315
Africa Western and Central,AFW,2015,8.56181459297848
Africa Western and Central,AFW,2019,8.85233522275346
Angola,AGO,2000,6.95205337204632
Angola,AGO,2010,7.54860522335174
Angola,AGO,2015,8.48617579247668
Angola,AGO,2019,9.08828741319193
Albania,ALB,2000,7.74830028075972
Albania,ALB,2010,6.14152050888872
Albania,ALB,2015,4.12681470034922
Albania,ALB,2019,3.03599641131377
Arab World,ARB,2000,9.4578845885962
Arab World,ARB,2010,9.96261414072677
Arab World,ARB,2015,14.1986790637029
Arab World,ARB,2019,10.1279130506063
United Arab Emirates,ARE,2000,20.8428054209341
United Arab Emirates,ARE,2010,25.8496797310964
United Arab Emirates,ARE,2015,21.3335339685728
United Arab Emirates,ARE,2019,15.8086878707137
Argentina,ARG,2000,6.9925261170518
Argentina,ARG,2010,5.90790513617686
Argentina,ARG,2015,6.21245052686423
Argentina,ARG,2019,5.70904330858032
Armenia,ARM,2000,5.73461875257113
Armenia,ARM,2010,4.75483687569386
Armenia,ARM,2015,4.41768970251022
Armenia,ARM,2019,4.67775117531801
Antigua and Barbuda,ATG,2000,6.64653907896991
Antigua and Barbuda,ATG,2010,6.80745779974433
Antigua and Barbuda,ATG,2015,5.2088948949001
Antigua and Barbuda,ATG,2019,5.37279775035651
Australia,AUS,2000,5.86113345690273
Australia,AUS,2010,5.58861532137959
Australia,AUS,2015,5.85702495846548
Australia,AUS,2019,5.94459221316378
Austria,AUT,2000,5.67049588455268
Austria,AUT,2010,5.43325113185383
Austria,AUT,2015,5.37756284546725
Austria,AUT,2019,5.44531462854727
Azerbaijan,AZE,2000,5.18282225580827
Azerbaijan,AZE,2010,4.8011839760545
Azerbaijan,AZE,2015,4.37324129505155
Azerbaijan,AZE,2019,3.7636405524941
Burundi,BDI,2000,17.2907324764855
Burundi,BDI,2010,9.74186135839884
Burundi,BDI,2015,11.9250345568974
Burundi,BDI,2019,12.0613038251609
Belgium,BEL,2000,6.49793097155456
Belgium,BEL,2010,6.22276976538698
Belgium,BEL,2015,6.20055951618006
Belgium,BEL,2019,6.12096377150522
Benin,BEN,2000,7.22864189862323
Benin,BEN,2010,8.40497407596057
Benin,BEN,2015,8.99444025754243
Benin,BEN,2019,9.19147102400214
Burkina Faso,BFA,2000,5.73057900507668
Burkina Faso,BFA,2010,7.88334301348522
Burkina Faso,BFA,2015,9.92548775907268
Burkina Faso,BFA,2019,11.1299696099475
Bangladesh,BGD,2000,6.64088937832296
Bangladesh,BGD,2010,7.59040285131126
Bangladesh,BGD,2015,7.48848529773928
Bangladesh,BGD,2019,7.13149266345035
Bulgaria,BGR,2000,3.93880966071457
Bulgaria,BGR,2010,2.73246255710327
Bulgaria,BGR,2015,2.70872028201864
Bulgaria,BGR,2019,2.47491821960442
Bahrain,BHR,2000,11.9199306915944
Bahrain,BHR,2010,10.5058199179016
Bahrain,BHR,2015,9.96066556020824
Bahrain,BHR,2019,8.89231702659159
"Bahamas, The",BHS,2000,10.7708854030443
"Bahamas, The",BHS,2010,11.9806420607558
"Bahamas, The",BHS,2015,12.4535254221082
"Bahamas, The",BHS,2019,13.8557689084434
Bosnia and Herzegovina,BIH,2000,6.26656324317548
Bosnia and Herzegovina,BIH,2010,4.53121916421062
Bosnia and Herzegovina,BIH,2015,4.19807008705015
Bosnia and Herzegovina,BIH,2019,3.76658780271476
Belarus,BLR,2000,10.2860243755909
Belarus,BLR,2010,8.72222150541058
Belarus,BLR,2015,6.40337946850778
Belarus,BLR,2019,5.71450571457612
Belize,BLZ,2000,18.3727360228888
Belize,BLZ,2010,18.6633499374265
Belize,BLZ,2015,18.8572010861558
Belize,BLZ,2019,18.8455291613112
Bolivia,BOL,2000,8.53087533484945
Bolivia,BOL,2010,9.36407931995113
Bolivia,BOL,2015,8.87878422709081
Bolivia,BOL,2019,8.7017791007376
Brazil,BRA,2000,12.850995446974
Brazil,BRA,2010,13.157491731561
Brazil,BRA,2015,12.4539423731105
Brazil,BRA,2019,11.5536597805284
Barbados,BRB,2000,3.42378372665619
Barbados,BRB,2010,4.90213119716005
Barbados,BRB,2015,4.8417071329335
Barbados,BRB,2019,4.30922726355312
Brunei Darussalam,BRN,2000,10.3720604652321
Brunei Darussalam,BRN,2010,6.46352442569816
Brunei Darussalam,BRN,2015,5.81397008604119
Brunei Darussalam,BRN,2019,4.98998923708015
Bhutan,BTN,2000,12.2021214873378
Bhutan,BTN,2010,9.12143561086106
Bhutan,BTN,2015,9.08778513709315
Bhutan,BTN,2019,9.04574466073515
Botswana,BWA,2000,7.42785449893448
Botswana,BWA,2010,9.42621942570057
Botswana,BWA,2015,9.53531999981647
Botswana,BWA,2019,9.38521814911902
Central African Republic,CAF,2000,6.1503118236315
Central African Republic,CAF,2010,7.29432692544111
Central African Republic,CAF,2015,9.06562121961068
Central African Republic,CAF,2019,9.02071399710817
Canada,CAN,2000,5.68094525929589
Canada,CAN,2010,6.0490614475443
Canada,CAN,2015,5.77819938098487
Canada,CAN,2019,5.41911458940873
Central Europe and the Baltics,CEB,2000,6.48893783417789
Central Europe and the Baltics,CEB,2010,5.36195954338366
Central Europe and the Baltics,CEB,2015,4.54573080640817
Central Europe and the Baltics,CEB,2019,4.22797666197834
Switzerland,CHE,2000,6.14506681891593
Switzerland,CHE,2010,5.67378141368627
Switzerland,CHE,2015,5.69679930275473
Switzerland,CHE,2019,5.69826863764251
Chile,CHL,2000,10.0777997836364
Chile,CHL,2010,8.38281010391552
Chile,CHL,2015,7.80545651380818
Chile,CHL,2019,7.76325777813412
China,CHN,2000,9.50514782134964
China,CHN,2010,8.45468322056477
China,CHN,2015,7.52589476453976
China,CHN,2019,6.81721294175657
Cote d'Ivoire,CIV,2000,6.48466427969084
Cote d'Ivoire,CIV,2010,8.18791100268325
Cote d'Ivoire,CIV,2015,9.14746068854232
Cote d'Ivoire,CIV,2019,10.0346807490684
Cameroon,CMR,2000,6.73070472905245
