Country Name,Country Code,Year,Value
Angola,AGO,2000,40.2
Angola,AGO,2008,32.3
Angola,AGO,2018,39.6
Albania,ALB,1996,20.7
Albania,ALB,2002,25.3
Albania,ALB,2005,24.3
Albania,ALB,2008,24.4
Albania,ALB,2012,22.9
Albania,ALB,2014,25.5
Albania,ALB,2015,24.8
Albania,ALB,2016,25
Albania,ALB,2017,24.6
Albania,ALB,2018,22.7
Albania,ALB,2019,23.6
Albania,ALB,2020,22.8
United Arab Emirates,ARE,2013,21.4
United Arab Emirates,ARE,2018,20.5
Argentina,ARG,1980,30.2
Argentina,ARG,1986,32.2
Argentina,ARG,1987,34.2
Argentina,ARG,1991,36.6
Argentina,ARG,1992,34.3
Argentina,ARG,1993,33.2
Argentina,ARG,1994,34.4
Argentina,ARG,1995,37
Argentina,ARG,1996,36.9
Argentina,ARG,1997,36.4
Argentina,ARG,1998,38
Argentina,ARG,1999,37
Argentina,ARG,2000,37.7
Argentina,ARG,2001,39.5
Argentina,ARG,2002,40.5
Argentina,ARG,2003,37.7
Argentina,ARG,2004,35.3
Argentina,ARG,2005,35
Argentina,ARG,2006,33.8
Argentina,ARG,2007,33.7
Argentina,ARG,2008,32.5
Argentina,ARG,2009,31.3
Argentina,ARG,2010,31.8
Argentina,ARG,2011,31
Argentina,ARG,2012,29.8
Argentina,ARG,2013,29.5
Argentina,ARG,2014,30.1
Argentina,ARG,2016,30.7
Argentina,ARG,2017,30
Argentina,ARG,2018,30.1
Argentina,ARG,2019,31.3
Argentina,ARG,2020,30.6
Argentina,ARG,2021,31.2
Argentina,ARG,2022,29.8
Argentina,ARG,2023,31
Argentina,ARG,2024,31.2
Armenia,ARM,1996,35.2
Armenia,ARM,1999,29.6
Armenia,ARM,2001,29.1
Armenia,ARM,2002,29
Armenia,ARM,2003,28.2
Armenia,ARM,2004,31.7
Armenia,ARM,2005,30.8
Armenia,ARM,2006,24.4
Armenia,ARM,2007,25.1
Armenia,ARM,2008,23.7
Armenia,ARM,2009,22.9
Armenia,ARM,2010,25
Armenia,ARM,2011,24
Armenia,ARM,2012,24.5
Armenia,ARM,2013,24.7
Armenia,ARM,2014,25.7
Armenia,ARM,2015,26.7
Armenia,ARM,2016,25.3
Armenia,ARM,2017,28.4
Armenia,ARM,2018,29.2
Armenia,ARM,2019,25.2
Armenia,ARM,2020,21.5
Armenia,ARM,2021,23.6
Armenia,ARM,2022,23
Armenia,ARM,2023,22.9
Australia,AUS,1981,22.9
Australia,AUS,1985,24.3
Australia,AUS,1989,24.2
Australia,AUS,1995,24.2
Australia,AUS,2001,24.7
Australia,AUS,2003,24.7
Australia,AUS,2004,24.9
Australia,AUS,2008,27.4
Australia,AUS,2010,26.5
Australia,AUS,2014,26.6
Australia,AUS,2016,25.5
Australia,AUS,2018,26.2
Australia,AUS,2020,25.5
Austria,AUT,1994,23.6
Austria,AUT,1995,23
Austria,AUT,1996,22.8
Austria,AUT,1997,22.4
Austria,AUT,1998,24.6
Austria,AUT,1999,23.4
Austria,AUT,2000,22.6
Austria,AUT,2003,23.5
Austria,AUT,2004,23.8
Austria,AUT,2005,22.8
Austria,AUT,2006,23.7
Austria,AUT,2007,23.8
Austria,AUT,2008,24.1
Austria,AUT,2009,24.7
Austria,AUT,2010,23.6
Austria,AUT,2011,23.7
Austria,AUT,2012,23.4
Austria,AUT,2013,24.3
Austria,AUT,2014,24.1
Austria,AUT,2015,23.8
Austria,AUT,2016,23.8
Austria,AUT,2017,23
Austria,AUT,2018,23.9
Austria,AUT,2019,23.2
Austria,AUT,2020,23.1
Austria,AUT,2021,23.8
Austria,AUT,2022,24.6
Austria,AUT,2023,24.8
Azerbaijan,AZE,1995,26.8
Azerbaijan,AZE,2001,29.5
Azerbaijan,AZE,2002,23.2
Azerbaijan,AZE,2003,23.6
Azerbaijan,AZE,2004,24.4
Azerbaijan,AZE,2005,24.2
Burundi,BDI,1992,26.6
Burundi,BDI,1998,32.5
Burundi,BDI,2006,28
Burundi,BDI,2013,31
Burundi,BDI,2020,29.9
Belgium,BEL,1985,20.3
Belgium,BEL,1988,20.7
Belgium,BEL,1992,19.8
Belgium,BEL,1995,22.5
Belgium,BEL,1997,21.2
Belgium,BEL,2000,28
Belgium,BEL,2003,22.2
Belgium,BEL,2004,25.1
Belgium,BEL,2005,23.9
Belgium,BEL,2006,22.4
Belgium,BEL,2007,23.5
Belgium,BEL,2008,22.7
Belgium,BEL,2009,22.7
Belgium,BEL,2010,22.7
Belgium,BEL,2011,22.3
Belgium,BEL,2012,21.9
Belgium,BEL,2013,21.8
Belgium,BEL,2014,22.4
Belgium,BEL,2015,22.2
Belgium,BEL,2016,22.2
Belgium,BEL,2017,21.9
Belgium,BEL,2018,22.2
Belgium,BEL,2019,22.3
Belgium,BEL,2020,21.4
Belgium,BEL,2021,21.9
Belgium,BEL,2022,22.2
Belgium,BEL,2023,22.2
Benin,BEN,2003,31.1
Benin,BEN,2011,34.5
Benin,BEN,2015,37.6
Benin,BEN,2018,30
Benin,BEN,2021,27.2
Burkina Faso,BFA,1994,39.4
Burkina Faso,BFA,1998,42.7
Burkina Faso,BFA,2003,33.8
Burkina Faso,BFA,2009,32
Burkina Faso,BFA,2014,29.6
Burkina Faso,BFA,2018,35.3
Burkina Faso,BFA,2021,30.2
Bangladesh,BGD,1983,21.9
Bangladesh,BGD,1985,23.4
Bangladesh,BGD,1988,24.6
Bangladesh,BGD,1991,23.3
Bangladesh,BGD,1995,28.1
Bangladesh,BGD,2000,27.9
Bangladesh,BGD,2005,28
Bangladesh,BGD,2010,26.9
Bangladesh,BGD,2016,26.8
Bangladesh,BGD,2022,25.5
Bulgaria,BGR,1989,20
Bulgaria,BGR,1992,24.7
Bulgaria,BGR,1994,21
Bulgaria,BGR,1995,26.3
Bulgaria,BGR,1997,22.8
Bulgaria,BGR,2001,24.9
Bulgaria,BGR,2003,23.6
Bulgaria,BGR,2006,26.6
Bulgaria,BGR,2007,27.9
Bulgaria,BGR,2008,25.7
