Country Name,Country Code,Year,Value
Afghanistan,AFG,2005,72.9
Afghanistan,AFG,2007,260.7
Afghanistan,AFG,2008,173.8
Afghanistan,AFG,2011,327.6
Angola,AGO,2008,635
Albania,ALB,2002,370.5
Albania,ALB,2005,260
Albania,ALB,2008,142.6
Albania,ALB,2012,139.2
Armenia,ARM,1999,48.6
Armenia,ARM,2001,84.3
Armenia,ARM,2008,309.6
Armenia,ARM,2009,474.9
Armenia,ARM,2010,388.8
Armenia,ARM,2011,379.2
Armenia,ARM,2012,268.8
Armenia,ARM,2013,253.7
Armenia,ARM,2014,153
Azerbaijan,AZE,2001,46.5
Azerbaijan,AZE,2007,98
Azerbaijan,AZE,2008,14
Burundi,BDI,2006,1889.7
Burundi,BDI,2014,828.3
Benin,BEN,1999,75.6
Benin,BEN,2003,108
Benin,BEN,2007,503.5
Benin,BEN,2009,374.4
Benin,BEN,2010,135.2
Benin,BEN,2011,480.2
Burkina Faso,BFA,1994,125.1
Burkina Faso,BFA,1998,123.3
Burkina Faso,BFA,2003,1165.2
Burkina Faso,BFA,2009,875.8
Burkina Faso,BFA,2014,320.1
Bangladesh,BGD,2000,832.3
Bangladesh,BGD,2005,585
Bangladesh,BGD,2010,384.42
Bulgaria,BGR,2001,79.8
Bulgaria,BGR,2007,39
Bosnia and Herzegovina,BIH,2001,13.8
Bosnia and Herzegovina,BIH,2002,13.8
Belarus,BLR,2002,60
Bolivia,BOL,1999,287.91788
Bolivia,BOL,2000,1245.8857
Bolivia,BOL,2001,1069.90636
Bolivia,BOL,2002,1175.3487
Bolivia,BOL,2004,1119.66668
Bolivia,BOL,2005,1270.3885
Bolivia,BOL,2006,1231.11558
Bolivia,BOL,2007,1159.16664
Bolivia,BOL,2008,1056.48972
Bolivia,BOL,2009,934.79264
Bolivia,BOL,2011,719.58
Bolivia,BOL,2012,727.98
Bolivia,BOL,2013,634.26
Bolivia,BOL,2014,574.88
Bolivia,BOL,2015,504
Brazil,BRA,2003,58.8
Bhutan,BTN,2003,77.4
Bhutan,BTN,2007,378.2
Bhutan,BTN,2012,130
Botswana,BWA,2002,386.1
Botswana,BWA,2003,725.4
Central African Republic,CAF,1992,306
Central African Republic,CAF,2008,2052.2
Chile,CHL,1998,17.1
Chile,CHL,2006,1.01
Chile,CHL,2009,1.024
Chile,CHL,2011,1.008
Chile,CHL,2013,1.008
Cote d'Ivoire,CIV,1985,78
Cote d'Ivoire,CIV,1993,288.6
Cote d'Ivoire,CIV,1998,312
Cote d'Ivoire,CIV,2002,763.7
Cote d'Ivoire,CIV,2008,998.400000000001
Cote d'Ivoire,CIV,2015,570.5
Cameroon,CMR,1996,955
Cameroon,CMR,2001,793.6
Cameroon,CMR,2007,762.6
Cameroon,CMR,2014,475.2
"Congo, Dem. Rep.",COD,2005,547.4
"Congo, Dem. Rep.",COD,2006,257.6
"Congo, Dem. Rep.",COD,2012,495.9
Congo,COG,2004,620.8
Congo,COG,2005,323.3
Congo,COG,2011,617.9
Colombia,COL,1999,102
Colombia,COL,2010,543.6
Colombia,COL,2011,643.2
Colombia,COL,2012,619.2
Colombia,COL,2013,424.8
Colombia,COL,2014,388.8
Colombia,COL,2015,350.2
Comoros,COM,2004,896.5
Cape Verde,CPV,2002,119.7
Cape Verde,CPV,2007,502.2
Costa Rica,CRI,2004,25.8
Costa Rica,CRI,2010,252.8
Costa Rica,CRI,2011,298.8
Costa Rica,CRI,2012,291.6
Costa Rica,CRI,2013,298.8
Costa Rica,CRI,2014,316.8
Costa Rica,CRI,2015,308
Dominican Republic,DOM,2004,50.4
Algeria,DZA,1995,38.4
Ecuador,ECU,1998,54
Ecuador,ECU,2007,551.04
Ecuador,ECU,2008,521.94
Ecuador,ECU,2009,518.7
Ecuador,ECU,2010,456.9
Ecuador,ECU,2011,388.5
Ecuador,ECU,2012,378.24
Ecuador,ECU,2013,323.88
Ecuador,ECU,2014,284.22
Ecuador,ECU,2015,246.5
Egypt,EGY,1996,44.2
Egypt,EGY,1999,111
Egypt,EGY,2000,83.91
Egypt,EGY,2004,144
Egypt,EGY,2005,79.2
Estonia,EST,1995,18.69
Ethiopia,ETH,1995,799.799999999999
Ethiopia,ETH,1999,654.5
Ethiopia,ETH,2000,119.3
Ethiopia,ETH,2004,456.5
